name,light_years_from_earth,planet_mass,stellar_mag,discovery_date,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,
11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,
14 Andromedae b,246,4.8 Jupiters,5.23133,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0.0,
14 Herculis b,58,8.13881 Jupiters,6.61935,2002,Gas Giant,1.12 x Jupiter,2.773069 AU,4.8 years,0.37,
16 Cygni B b,69,1.78 Jupiters,6.215,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,
17 Scorpii b,408,4.32 Jupiters,5.22606,2020,Gas Giant,1.15 x Jupiter,1.45 AU,1.6 years,0.06,
18 Delphini b,249,10.3 Jupiters,5.51048,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,
1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0.0,
24 Bootis b,313,0.91 Jupiters,5.59,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,
24 Sextantis b,235,1.99 Jupiters,6.4535,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,
24 Sextantis c,235,0.86 Jupiters,6.4535,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,
2M0437 b,419,4 Jupiters,16.186,2021,Gas Giant,1.16 x Jupiter,118.0 AU,3110.6 years,0.0,
2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0.0,
2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0.0,
2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0.0
2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0.0
2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004,Gas Giant,1.15 x Jupiter,55.0 AU,2885.9 years,0.0,
2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015,Gas Giant,1.2 x Jupiter,0.92 AU,406 days,0.33,Eclipse Timing Variations
2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0.0,
30 Arietis B b,146,13.82 Jupiters,7.09209,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29,
42 Draconis b,296,3.88 Jupiters,4.8262,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38,
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006,Gas Giant,1.13 x Jupiter,0.87 AU,269.3 days,0.43,
